,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
19057,Turmeric,2001,Whole Year ,Arunachal Pradesh,573,2094,2128.5,58520.49,148.98,4.02625
17723,Other Kharif pulses,2005,Kharif     ,Jammu and Kashmir,1157,605,1721.8,138747.44,242.97,0.52125
5692,Potato,2018,Whole Year ,Kerala,536.9,7381,2989.7,87085.18,187.915,13.75
7886,Barley,2002,Rabi       ,Bihar,20427,23432,1105.8,1933824.09,5106.75,1.154285714
11029,Safflower,2009,Rabi       ,Chhattisgarh,847,241,956.9,131979.54,143.99,0.27375
13580,Jowar,2013,Kharif     ,West Bengal,25,7,1939.9,3612.25,6.75,0.28
11045,Banana,2009,Whole Year ,Gujarat,22100,1605500,618,3443622,3757,65.11
5422,Cashewnut,2018,Kharif     ,Andhra Pradesh,112612,99169,1220.5,18265666.4,39414.2,1.2075
13912,Maize,2014,Kharif     ,Nagaland,63600,125630,1333.3,9601056,20988,1.973636364
5641,Moong(Green Gram),2018,Rabi       ,Karnataka,5898,1324,1419.1,956655.6,2064.3,0.23
8634,Maize,2003,Rabi       ,Mizoram,716,1277,2499.5,70869.68,171.84,1.802
4860,Peas & beans (Pulses),2016,Rabi       ,Assam,28680,26008,2296.8,4395210,10038,0.904814815
19661,Moong(Green Gram),2018,Autumn     ,Odisha,10615,2798,1635.9,1721753,3715.25,0.418
5028,Coconut ,2016,Whole Year ,Tamil Nadu,435621,4706400000,912.4,66758918.25,152467.35,10719.08742
14615,Urad,2015,Kharif     ,Tripura,2300,1281,2334.4,363193,759,0.57125
2880,Rapeseed &Mustard,2009,Rabi       ,Andhra Pradesh,4309,2576,711,671428.38,732.53,0.3125
16436,Coriander,2018,Kharif     ,Telangana,7,7,1350.3,1135.4,2.45,1
2375,Cashewnut,2007,Whole Year ,Kerala,58381,52402,3489.6,7788025.4,9340.96,0.579285714
1425,Banana,2003,Whole Year ,Puducherry,280,10095,1434.5875,27714.4,67.2,26.56
7210,Jowar,2000,Rabi       ,Madhya Pradesh,2191,1571,723.3,215090.47,569.66,1.054166667
15600,Peas & beans (Pulses),2017,Rabi       ,Jharkhand,59150,71052,1165.7,9312576,22477,1.19625
6225,Onion,1997,Whole Year ,Gujarat,20900,615900,798.9,1989053,6479,30.12733333
7177,Arhar/Tur,2000,Kharif     ,Himachal Pradesh,272,44,1068.4,26702.24,70.72,0.305714286
14604,Moong(Green Gram),2015,Kharif     ,Tripura,2200,1111,2334.4,347402,726,0.50625
5154,Moong(Green Gram),2017,Summer     ,Puducherry,636,151,1582.4,100131.84,241.68,0.513333333
13386,Groundnut,2013,Kharif     ,Punjab,1300,2400,586.6,187837,351,1.85
18356,Bajra,2019,Kharif     ,Jammu and Kashmir,9656,5781,1324.1,1658514.56,3572.72,0.603333333
10116,Linseed,2007,Rabi       ,Bihar,27507,22691,1600.2,3669433.8,4401.12,0.828108108
17253,Ragi,2019,Kharif     ,Uttarakhand,91584,129994,1378.9,15730467.84,33886.08,1.525454545
7946,Mesta,2002,Kharif     ,Chhattisgarh,1052,1918,1001.4,99592.84,263,1.867142857
18599,Cotton(lint),2007,Kharif     ,Manipur,210,70,1435.7,28014,33.6,0.33
5716,Cotton(lint),2018,Kharif     ,Tamil Nadu,70023,151758,986.2,11357730.6,24508.05,2.13
13782,Masoor,2014,Rabi       ,Himachal Pradesh,477,300,1019.9,72007.92,157.41,0.604444444
2494,Moong(Green Gram),2008,Summer     ,Puducherry,1220,233,1434.5875,174508.8,109.8,0.37
18936,other oilseeds,2002,Whole Year ,Tripura,5003,3520,2579.8,473634.01,1250.75,0.695
8153,Cotton(lint),2002,Kharif     ,Maharashtra,2799900,2596100,967.4,265066533,699975,0.99037037
1126,Rice,2002,Summer     ,Kerala,41079,111850,2511.2,3888948.93,10269.75,2.212142857
8485,Rice,2003,Summer     ,Gujarat,23900,83800,902.5,2365622,5736,3.565714286
17470,Gram,2001,Rabi       ,Delhi,51,8,611.9,5208.63,13.26,0.16
5480,Urad,2018,Kharif     ,Andhra Pradesh,22364,18119,1220.5,3627440.8,7827.4,0.754615385
15142,Rice,2016,Kharif     ,Punjab,3046000,12638000,635.9,466799500,1066100,4.066818182
8722,Maize,2003,Kharif     ,Punjab,154000,459000,451.7,15242920,36960,3.086923077
486,Turmeric,1999,Whole Year ,West Bengal,13283,20023,2318.1,1409724.79,3586.41,1.425555556
12935,Sugarcane,2012,Kharif     ,Uttar Pradesh,2211712,137904315,746.3,333526169.6,685630.72,56.98173333
15921,Turmeric,2017,Rabi       ,Uttar Pradesh,1201,1537,652.1,189085.44,456.38,1.248518519
5909,Black pepper,2019,Rabi       ,Meghalaya,1046,791,3844.4,179660.96,387.02,0.764545455
9136,Sunflower,2004,Rabi       ,Nagaland,150,240,1711.5,16251,31.5,1.4
13713,Jowar,2014,Rabi       ,Gujarat,33685,47998,605.6,5085087.6,11116.05,1.308235294
12794,Sugarcane,2012,Whole Year ,Manipur,5500,311690,1176.7,829400,1705,53.21444444
3078,Arecanut,2010,Kharif     ,Puducherry,60,78,1434.5875,9966.6,14.4,1.3
1095,Tapioca,2002,Whole Year ,Assam,2835,13501,1973.6,268389.45,708.75,4.415
15719,Cotton(lint),2017,Kharif     ,Mizoram,92.3,34,3865.8,14531.712,35.074,0.3975
5639,Mesta,2018,Whole Year ,Karnataka,81,116,1419.1,13138.2,28.35,1.334545455
1117,Cashewnut,2002,Whole Year ,Kerala,88548,66087,2511.2,8382839.16,22137,0.574285714
6567,Dry chillies,1998,Whole Year ,Tamil Nadu,65980,39657,1077.1,6518824,19134.2,0.635555556
6440,Bajra,1998,Kharif     ,Haryana,613174,618800,687.6,60581591.2,177820.46,1.006842105
15692,Wheat,2017,Rabi       ,Maharashtra,1137731.5,1884842,1129.5,179124447.4,432337.97,1.505483871
17543,Cotton(lint),2002,Kharif     ,Puducherry,314,1635,1434.5875,29726.38,78.5,5.225
11247,Moong(Green Gram),2009,Rabi       ,Tripura,230,131,2004.2,35838.6,39.1,0.5625
6950,Bajra,1999,Kharif     ,Punjab,5000,4000,364.4,530650,1350,0.833333333
12172,Potato,2011,Rabi       ,Himachal Pradesh,3431,23799,1108.3,574761.12,1132.23,4.865
13074,Arhar/Tur,2013,Kharif     ,Chhattisgarh,52816,29448,1418.3,7631383.84,14260.32,0.56
19363,Rice,2008,Rabi       ,Goa,15688,43162,3271.6,2244011.52,1411.92,2.755
6868,Safflower,1999,Rabi       ,Maharashtra,317400,174500,1166.5,33685662,85698,0.637083333
11646,Moong(Green Gram),2010,Kharif     ,Madhya Pradesh,83782,29404,856.3,13917028.02,20107.68,0.3646
2008,Groundnut,2006,Kharif     ,Andhra Pradesh,1106630,332732,845.2,141327717.3,243458.6,0.874545455
8980,Bajra,2004,Kharif     ,Gujarat,770100,785900,719.8,83432634,161721,1.133333333
13195,Turmeric,2013,Whole Year ,Haryana,3044,37595,452.2,439827.56,821.88,11.3
4066,Turmeric,2013,Whole Year ,Meghalaya,2465,15126,2448.4,356167.85,665.55,5.89
17949,Rapeseed &Mustard,2011,Rabi       ,Jammu and Kashmir,59421,50537,887.6,9954205.92,19608.93,0.8
12816,Tobacco,2012,Whole Year ,Mizoram,70,58,2050.2,10556,21.7,0.715
18271,Horse-gram,2017,Rabi       ,Jammu and Kashmir,45,18,1279.1,7084.8,17.1,0.4
740,Rapeseed &Mustard,2000,Rabi       ,West Bengal,435998,417020,1907.7,42801923.66,113359.48,0.841666667
8468,Garlic,2003,Whole Year ,Gujarat,27100,189800,902.5,2682358,6504,6.95
9825,Soyabean,2006,Kharif     ,Himachal Pradesh,638,1073,1207,81478.98,140.36,1.691428571
